,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
0,1,CHI,Derrick Rose,Memphis,13,672,21317,12230,2239,3646,.457,.316,.830,31.7,18.2,3.3,5.4,44.3,.100,1.4,18.4
1,2,MIA,Michael Beasley,Kansas State,11,609,13903,7568,2861,788,.465,.349,.759,22.8,12.4,4.7,1.3,15.6,.054,-1.7,0.9
2,3,MIN,O.J. Mayo,USC,8,547,16919,7574,1706,1607,.429,.373,.820,30.9,13.8,3.1,2.9,21.8,.062,-0.9,4.7
3,4,SEA,Russell Westbrook,UCLA,14,984,34201,22634,7293,8397,.438,.305,.786,34.8,23.0,7.4,8.5,106.2,.149,4.5,55.8
4,5,MEM,Kevin Love,UCLA,14,770,24115,13749,8372,1827,.441,.373,.830,31.3,17.9,10.9,2.4,86.3,.172,3.4,32.9
5,6,NYK,Danilo Gallinari,,13,692,20775,10849,3327,1355,.427,.383,.877,30.0,15.7,4.8,2.0,62.0,.143,1.9,20.4
6,7,LAC,Eric Gordon,Indiana,14,727,23607,12001,1757,2085,.428,.370,.809,32.5,16.5,2.4,2.9,36.0,.073,-0.5,9.0
7,8,MIL,Joe Alexander,West Virginia,2,67,745,282,120,44,.410,.340,.698,11.1,4.2,1.8,0.7,0.5,.030,-3.6,-0.3
8,9,CHA,D.J. Augustin,Texas,14,951,22417,9127,1770,3723,.411,.380,.867,23.6,9.6,1.9,3.9,47.2,.101,-0.6,7.7
9,10,NJN,Brook Lopez,Stanford,14,856,25922,14094,5359,1240,.494,.340,.796,30.3,16.5,6.3,1.4,70.9,.131,1.3,21.6
10,11,IND,Jerryd Bayless,Arizona,11,586,12486,4909,1235,1674,.411,.361,.818,21.3,8.4,2.1,2.9,18.6,.072,-1.6,1.1
11,12,SAC,Jason Thompson,Rider University,8,588,14819,5210,3880,635,.496,.143,.657,25.2,8.9,6.6,1.1,23.8,.077,-2.6,-2.4
12,13,POR,Brandon Rush,Kansas,9,481,10564,3250,1413,468,.426,.402,.706,22.0,6.8,2.9,1.0,11.2,.051,-1.4,1.6
13,14,GSW,Anthony Randolph,LSU,6,252,3841,1789,1078,187,.453,.241,.740,15.2,7.1,4.3,0.7,5.8,.072,-1.6,0.4
14,15,PHO,Robin Lopez,Stanford,14,920,20264,8077,4541,776,.536,.288,.745,22.0,8.8,4.9,0.8,48.7,.115,-1.0,5.0
15,16,PHI,Marreese Speights,Florida,10,705,10640,5592,2875,461,.459,.356,.797,15.1,7.9,4.1,0.7,25.8,.116,-2.2,-0.6
16,17,TOR,Roy Hibbert,Georgetown,9,662,16389,6611,4173,885,.465,.250,.755,24.8,10.0,6.3,1.3,35.9,.105,-1.1,3.5
17,18,WAS,JaVale McGee,Nevada,14,782,13371,6213,4099,339,.575,.180,.600,17.1,7.9,5.2,0.4,40.1,.144,0.1,7.1
18,19,CLE,J.J. Hickson,NC State,8,534,11925,5081,3639,449,.505,.000,.617,22.3,9.5,6.8,0.8,21.9,.088,-1.8,0.5
19,20,CHA,Alexis Ajinça,,7,293,3905,1553,1150,143,.503,.286,.797,13.3,5.3,3.9,0.5,7.5,.093,-2.8,-0.8
20,21,NJN,Ryan Anderson,California,12,649,16769,8001,3413,586,.422,.380,.854,25.8,12.3,5.3,0.9,46.7,.134,1.0,12.8
21,22,ORL,Courtney Lee,Western Kentucky,12,811,21938,7765,2127,1353,.451,.388,.853,27.1,9.6,2.6,1.7,39.3,.086,-0.6,7.9
22,23,UTA,Kosta Koufos,Ohio State,11,686,11271,3913,3452,359,.534,.000,.582,16.4,5.7,5.0,0.5,28.3,.120,-1.3,2.0
23,24,SEA,Serge Ibaka,,13,871,24410,10737,6303,724,.513,.360,.758,28.0,12.3,7.2,0.8,71.4,.140,0.5,15.7
24,25,HOU,Nicolas Batum,,14,878,27129,9838,4555,3150,.437,.361,.838,30.9,11.2,5.2,3.6,61.2,.108,1.7,25.2
25,26,SAS,George Hill,IUPUI,14,848,23259,9213,2595,2656,.457,.382,.806,27.4,10.9,3.1,3.1,68.6,.141,1.3,19.2
26,27,NOH,Darrell Arthur,Kansas,9,503,8945,3282,1768,409,.444,.352,.765,17.8,6.5,3.5,0.8,12.3,.066,-2.2,-0.4
27,28,MEM,Donté Greene,Syracuse,4,253,4259,1541,600,183,.406,.304,.701,16.8,6.1,2.4,0.7,1.5,.017,-2.8,-0.9
28,29,DET,D.J. White,Indiana,6,138,2111,810,437,80,.507,.333,.720,15.3,5.9,3.2,0.6,3.8,.087,-2.1,0.0
29,30,BOS,J.R. Giddens,New Mexico,2,38,247,73,54,13,.476,.000,.565,6.5,1.9,1.4,0.3,0.1,.027,-4.3,-0.1
32,31,MIN,Nikola Peković,,6,271,6744,3405,1807,199,.518,,.760,24.9,12.6,6.7,0.7,18.8,.134,-0.7,2.2
33,32,SEA,Walter Sharpe,UAB,1,8,20,8,3,0,.364,.000,.000,2.5,1.0,0.4,0.0,-0.1,-.131,-10.1,0.0
34,33,POR,Joey Dorsey,Memphis,4,130,1488,344,513,55,.534,.000,.375,11.4,2.6,3.9,0.4,2.9,.092,-2.7,-0.3
35,34,MIN,Mario Chalmers,Kansas,9,646,17245,5743,1585,2412,.417,.351,.793,26.7,8.9,2.5,3.7,32.3,.090,-0.6,5.9
36,35,LAC,DeAndre Jordan,Texas A&M,14,960,25937,8849,10035,922,.674,.083,.475,27.0,9.2,10.5,1.0,93.9,.174,1.4,22.0
37,36,POR,Ömer Aşık,,8,471,9216,2479,3362,280,.528,.000,.551,19.6,5.3,7.1,0.6,20.9,.109,-1.9,0.1
38,37,MIL,Luc Mbah a Moute,UCLA,12,689,16038,4380,2800,588,.454,.334,.659,23.3,6.4,4.1,0.9,26.0,.078,-1.5,2.0
39,38,CHA,Kyle Weaver,Washington State,3,73,1379,363,158,119,.441,.353,.736,18.9,5.0,2.2,1.6,1.5,.051,-1.1,0.3
40,39,CHI,Sonny Weems,Arkansas,4,183,3335,1189,402,257,.465,.283,.702,18.2,6.5,2.2,1.4,0.0,.001,-4.2,-1.8
41,40,NJN,Chris Douglas-Roberts,Memphis,6,222,4381,1571,472,254,.439,.329,.831,19.7,7.1,2.1,1.1,5.4,.059,-2.2,-0.2
42,41,IND,Nathan Jawai,,2,45,431,126,106,24,.435,.000,.684,9.6,2.8,2.4,0.5,0.2,.020,-4.4,-0.3
43,42,SAC,Sean Singletary,Virginia,1,37,303,90,35,29,.365,.400,.857,8.2,2.4,0.9,0.8,0.0,.006,-5.1,-0.2
44,43,SAC,Patrick Ewing,Georgetown,1,7,19,3,2,2,.000,.000,.750,2.7,0.4,0.3,0.3,-0.1,-.158,-9.1,0.0
45,44,UTA,Ante Tomić,,,,,,,,,,,,,,,,,,
46,45,SAS,Goran Dragić,,14,872,24326,12086,2684,4177,.462,.364,.767,27.9,13.9,3.1,4.8,56.2,.111,0.7,16.5
47,46,SEA,Trent Plaisted,Brigham Young University Hawaii,,,,,,,,,,,,,,,,,
48,47,WAS,Henry Walker,Kansas State,5,181,3016,1079,401,153,.446,.369,.760,16.7,6.0,2.2,0.8,5.0,.079,-1.8,0.2
49,48,PHO,Malik Hairston,Oregon,2,62,472,149,77,29,.512,.167,.514,7.6,2.4,1.2,0.5,0.8,.086,-2.0,0.0
50,49,GSW,Richard Hendrix,Alabama,,,,,,,,,,,,,,,,,
51,50,SEA,DeVon Hardin,California,,,,,,,,,,,,,,,,,
52,51,DAL,Shan Foster,Vanderbilt,,,,,,,,,,,,,,,,,
53,52,MIA,Darnell Jackson,Kansas,3,138,1039,308,203,26,.449,.235,.644,7.5,2.2,1.5,0.2,1.3,.059,-5.2,-0.8
54,53,UTA,Tadija Dragićević,,,,,,,,,,,,,,,,,,
55,54,HOU,Maarty Leunen,Oregon,,,,,,,,,,,,,,,,,
56,55,POR,Mike Taylor,Iowa State,1,51,771,289,87,106,.412,.325,.691,15.1,5.7,1.7,2.1,-0.4,-.028,-5.2,-0.6
57,56,SEA,Sasha Kaun,Kansas,1,25,95,23,26,3,.529,,.455,3.8,0.9,1.0,0.1,0.2,.096,-2.8,0.0
58,57,SAS,James Gist,Maryland,,,,,,,,,,,,,,,,,
